2018-11-03 01:45:23 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '50', '0', '33'] EOF
2018-11-03 01:45:23 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '53', '40', '0', '38'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '20', '0', '34'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '90', '0', '37'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '60', '0', '34'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '90', '0', '37'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '70', '0', '37'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '90', '0', '37'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '00', '0', '37'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '80', '0', '36'] EOF
2018-11-03 01:45:24 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '55', '50', '0', '39'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '60', '0', '34'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '20', '0', '37'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '70', '0', '34'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '80', '0', '36'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '47', '90', '0', '34'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '30', '0', '36'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '57', '10', '0', '40'] EOF
